,MeetingID,RecordingUrl
0,870,https://www.ppuh.org/
1,286,http://gabinety.pl/
2,533,https://www.krzysztoszek-wieja.pl/
3,90,http://fundacja.com/
4,584,https://www.szymajda-szmagaj.com/
5,321,https://www.stowarzyszenie.org/
6,45,http://www.stowarzyszenie.pl/
7,580,http://www.grupa.pl/
8,758,http://sosnowka.pl/
9,674,http://gras.pl/
10,428,http://siedlaczek-nojman.com/
11,724,https://www.karpik-chachula.net/
12,400,https://www.fundacja.com/
13,40,https://www.bronka.pl/
14,250,http://www.stowarzyszenie.com/
15,701,http://gabinety.pl/
16,328,https://cmiel.pl/
17,913,http://fundacja.pl/
18,569,https://brudny.pl/
19,406,http://prucnal-dziadowicz.com/
20,940,http://www.spoldzielnia.net/
21,61,http://www.czenczek-jazwiec.com/
22,279,http://www.fundacja.com/
23,192,http://ppuh.com/
24,514,https://fpuh.net/
25,488,https://szulist-siciarz.pl/
26,548,https://ppuh.org/
27,972,http://gabinety.com/
28,75,http://fundacja.pl/
29,743,http://www.gabinety.pl/
30,240,http://www.spoldzielnia.com/
31,455,https://gabinety.com/
32,140,https://bruzda-gasek.org/
33,303,https://gabinety.com/
34,505,http://nogiec-kieszek.org/
35,228,https://www.fpuh.com/
36,441,http://gabinety.com/
37,297,https://spoldzielnia.pl/
38,32,https://www.gabinety.com/
39,946,http://ppuh.com/
40,340,http://www.osipiuk.com/
41,637,http://zal-jereczek.com/
42,869,https://stelmasiak-ligas.pl/
43,551,https://www.grupa.com/
44,649,http://fundacja.pl/
45,416,http://www.gabinety.org/
46,957,http://martyn-babol.com/
47,612,https://spoldzielnia.pl/
48,367,http://baum-foit.com/
49,851,https://www.fundacja.pl/
50,655,https://www.sobisz-nazarewicz.pl/
51,137,http://www.grupa.pl/
52,829,http://fpuh.pl/
53,496,https://www.gabinety.com/
54,325,http://www.ppuh.pl/
55,900,http://fundacja.com/
56,353,https://gabinety.pl/
57,124,http://www.frydrychowicz-wlazly.pl/
58,353,https://www.fundacja.org/
59,902,https://fpuh.org/
60,380,http://ppuh.net/
