,OrderDate,PaymentLink
0,2025-01-17,http://www.fpuh.net/
1,2025-01-08,http://www.flisiak.net/
2,2025-01-19,http://gadzina-utrata.pl/
3,2025-01-15,http://fundacja.com/
4,2025-01-11,http://www.spoldzielnia.com/
5,2025-01-14,http://stowarzyszenie.pl/
6,2025-01-04,https://www.spoldzielnia.net/
7,2025-01-04,https://www.grupa.pl/
8,2025-01-13,https://www.spoldzielnia.com/
9,2025-01-09,https://jarczak-malysiak.pl/
10,2025-01-06,https://www.fpuh.org/
11,2025-01-04,http://www.kolonko-pietryga.org/
12,2025-01-18,https://www.samol-hasiak.org/
13,2025-01-14,http://www.indyk.com/
14,2025-01-20,https://www.hadas-wasilewicz.org/
15,2025-01-12,https://wasyluk-klimko.com/
16,2025-01-09,http://www.flaga.net/
17,2025-01-19,http://spoldzielnia.net/
18,2025-01-13,https://www.grupa.com/
19,2025-01-20,https://eckert.com/
20,2025-01-03,http://www.kielbowicz.org/
21,2025-01-04,http://fpuh.pl/
22,2025-01-14,http://www.fundacja.org/
23,2025-01-03,https://www.lapaj.org/
24,2025-01-06,http://www.fundacja.com/
25,2025-01-01,http://fundacja.pl/
26,2025-01-12,https://fundacja.net/
27,2025-01-18,https://www.deluga-stypka.pl/
28,2025-01-09,http://gabinety.net/
29,2025-01-17,http://stowarzyszenie.net/
30,2025-01-06,http://spoldzielnia.com/
31,2025-01-08,http://www.jachna.net/
32,2025-01-18,http://www.drazyk.com/
33,2025-01-02,http://garczyk.pl/
34,2025-01-16,http://czerwionka-maszkiewicz.com/
35,2025-01-02,https://lepka-kusnierek.pl/
36,2025-01-20,http://www.spoldzielnia.com/
37,2025-01-13,http://www.stowarzyszenie.pl/
38,2025-01-18,http://www.spoldzielnia.pl/
39,2025-01-20,http://ppuh.com/
40,2025-01-14,https://www.spoldzielnia.pl/
41,2025-01-04,http://grupa.pl/
42,2025-01-09,https://www.stowarzyszenie.pl/
43,2025-01-01,https://berek-pracz.pl/
44,2025-01-07,http://fpuh.pl/
45,2025-01-09,https://www.grupa.pl/
46,2025-01-12,https://ppuh.org/
47,2025-01-03,http://fundacja.pl/
48,2025-01-17,https://grupa.org/
49,2025-01-18,https://kuska.pl/
50,2025-01-08,http://www.ppuh.com/
51,2025-01-12,http://spoldzielnia.pl/
52,2025-01-17,http://gruza-klaus.net/
53,2025-01-18,https://www.stowarzyszenie.net/
54,2025-01-17,https://www.spoldzielnia.org/
55,2025-01-08,https://www.zawartka.pl/
56,2025-01-05,http://stowarzyszenie.net/
57,2025-01-03,http://ochab.pl/
58,2025-01-14,http://www.fundacja.com/
59,2025-01-01,https://www.sladek.com/
60,2025-01-03,https://www.trybus-szrama.com/
61,2025-01-05,http://www.czajor-sajewicz.com/
62,2025-01-15,https://fpuh.org/
63,2025-01-05,https://fpuh.com/
64,2025-01-14,https://spoldzielnia.com/
65,2025-01-02,http://ppuh.pl/
66,2025-01-09,https://grabas.com/
67,2025-01-17,http://www.mila-wasyluk.pl/
68,2025-01-15,https://www.ppuh.pl/
69,2025-01-15,https://stowarzyszenie.pl/
70,2025-01-04,https://www.stowarzyszenie.pl/
71,2025-01-01,http://www.kieloch.pl/
72,2025-01-02,https://gabinety.pl/
73,2025-01-19,http://www.macias-myszk.net/
74,2025-01-04,https://tymczyszyn.pl/
75,2025-01-13,http://figat-laskawiec.org/
76,2025-01-11,https://stosio.pl/
77,2025-01-16,https://www.fpuh.pl/
78,2025-01-02,https://www.grupa.com/
79,2025-01-19,https://www.spoldzielnia.org/
80,2025-01-20,http://fpuh.org/
81,2025-01-06,https://www.spoldzielnia.pl/
82,2025-01-06,https://spoldzielnia.pl/
83,2025-01-15,http://www.fundacja.pl/
84,2025-01-08,https://www.uliasz-bondyra.com/
85,2025-01-12,https://www.stowarzyszenie.pl/
86,2025-01-10,http://www.grupa.pl/
87,2025-01-09,https://www.panicz-wielgo.pl/
88,2025-01-10,https://www.ppuh.pl/
89,2025-01-05,https://martin.com/
90,2025-01-20,http://fpuh.pl/
91,2025-01-18,https://www.kubieniec-choina.pl/
92,2025-01-01,https://www.molek.com/
93,2025-01-16,https://www.peksa-grabos.com/
94,2025-01-06,http://www.fundacja.pl/
95,2025-01-14,https://spoldzielnia.com/
96,2025-01-16,http://gabinety.com/
97,2025-01-12,https://czerwionka-kociemba.pl/
98,2025-01-10,http://gabinety.pl/
