,MeetingID,MeetingUrl
0,314,https://fpuh.org/
1,704,http://spoldzielnia.com/
2,246,https://fundacja.com/
3,48,http://ppuh.net/
4,793,http://gabinety.com/
5,666,https://www.monkiewicz.com/
6,90,https://www.fpuh.org/
7,687,https://www.zieciak.net/
8,294,http://gabinety.pl/
9,381,https://stowarzyszenie.net/
10,710,https://www.spoldzielnia.com/
11,593,http://www.gabinety.net/
12,488,https://www.zwara-kurbiel.com/
13,201,https://ppuh.net/
14,242,http://gabinety.com/
15,356,https://www.gabinety.pl/
16,681,https://dykas.com/
17,990,https://fundacja.org/
18,393,http://stowarzyszenie.pl/
19,483,https://www.ochal-dudczak.org/
20,262,https://spoldzielnia.org/
21,371,https://www.toma-kleina.com/
22,405,http://www.maruszczyk-goska.com/
23,237,https://www.gabinety.com/
24,354,http://www.doroszuk.pl/
25,673,https://www.fundacja.com/
26,552,https://stowarzyszenie.com/
27,643,http://www.fundacja.com/
28,631,https://spoldzielnia.pl/
29,353,https://www.kucab.pl/
30,866,http://gabinety.com/
31,318,https://www.obuchowicz.org/
32,734,http://gabinety.com/
33,674,http://fpuh.org/
34,178,http://laszuk-szemraj.com/
35,319,http://www.ppuh.net/
36,473,https://wazna-orman.pl/
37,143,http://www.gabinety.pl/
38,394,http://www.gabinety.com/
39,792,https://fundacja.pl/
40,224,http://fpuh.com/
41,769,https://szpyrka.pl/
42,144,http://spoldzielnia.com/
43,235,http://ppuh.org/
44,885,http://bajak-melka.net/
45,139,http://fpuh.net/
46,303,http://gabinety.pl/
47,798,http://fpuh.pl/
48,282,http://stowarzyszenie.com/
49,665,https://www.ppuh.org/
50,874,https://spoldzielnia.com/
51,55,https://stowarzyszenie.pl/
52,989,https://sommerfeld.com/
53,92,https://www.mironiuk.com/
54,829,http://spoldzielnia.com/
55,514,https://ppuh.pl/
56,6,https://www.pajdak.com/
57,626,http://www.fundacja.com/
58,211,http://spoldzielnia.net/
59,384,https://www.dulak-miechowicz.pl/
60,301,https://cader.com/
61,262,https://zero.pl/
62,178,http://www.stowarzyszenie.org/
63,949,https://www.machowicz-siemienczuk.pl/
64,914,https://kroczak-armatys.com/
65,956,https://www.fpuh.pl/
66,973,http://www.fundacja.com/
67,903,http://wazna.com/
