,ModuleID,RecordingUrl
0,71,https://www.parkitna-czosnyka.pl/
1,36,http://www.fpuh.net/
2,23,https://tarasek-karalus.org/
3,93,https://www.ppuh.com/
4,81,https://grupa.net/
5,69,https://ppuh.com/
6,63,http://www.ppuh.pl/
7,73,http://www.stupak-wieclawek.org/
8,44,http://www.spoldzielnia.com/
9,60,https://www.stowarzyszenie.com/
10,62,http://www.gabinety.org/
11,11,https://ppuh.pl/
12,48,https://www.grupa.com/
13,67,https://radko.net/
14,18,https://www.grupa.com/
15,61,https://www.gabinety.com/
16,7,http://andrukiewicz.com/
17,95,http://www.fundacja.pl/
18,36,http://www.fpuh.com/
19,30,http://www.spoldzielnia.com/
20,40,http://www.fundacja.pl/
21,87,http://www.ppuh.com/
22,79,http://www.fundacja.com/
23,62,https://fundacja.com/
24,85,https://grupa.com/
25,68,https://galos.pl/
26,62,https://www.tymczyszyn.pl/
27,96,https://www.fpuh.com/
28,24,http://www.lys.pl/
29,64,http://www.syroka.net/
30,92,https://www.galach-kurant.org/
31,68,http://www.gabinety.pl/
32,16,https://grupa.net/
33,31,https://www.spoldzielnia.pl/
34,100,http://twardy-samoraj.pl/
35,16,https://www.ziarno.com/
36,51,http://www.gabinety.pl/
37,77,http://www.bazylewicz.net/
38,26,http://smoczyk-gumieniak.pl/
39,78,https://michel.pl/
40,98,http://stowarzyszenie.org/
41,31,http://fiutak-gryta.com/
42,23,https://labus-melaniuk.com/
43,91,http://www.grupa.org/
44,58,http://www.gabinety.com/
45,5,https://pronobis.org/
46,58,https://www.gabinety.com/
47,5,http://www.ppuh.net/
48,11,http://www.fundacja.pl/
49,59,http://stowarzyszenie.com/
50,3,http://fpuh.pl/
51,54,https://www.fpuh.net/
52,50,https://wojewodka.com/
53,94,https://www.maszkiewicz-klepka.org/
54,47,https://www.kunc-duras.com/
55,87,https://gorol-kopiczko.com/
56,98,http://grupa.com/
57,10,http://parzonka.pl/
58,93,http://fpuh.pl/
59,7,https://www.mak.com/
60,12,http://www.dylong.pl/
61,91,http://staniewicz.com/
62,84,http://fpuh.pl/
63,9,https://www.wiercigroch-rudzik.pl/
